dataset,model,condition,fold_id,status,n_train,n_val,n_train_after_sampling,val_loss,history_path,checkpoint_path,feature_count_after_preprocessing,feature_names_path,runtime_seconds,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,tp,tn,fp,fn,roc_auc,pr_auc,prediction_path
australian,mlp,focal_loss,2,success,621,69,621,0.037815604358911514,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold02_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold02.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold02_features.json,2.6024627685546875,0.8840579710144928,0.9,0.8717948717948718,0.84375,0.8709677419354839,0.8858974358974359,27,34,5,3,0.947008547008547,0.9010304208603686,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold02_predictions.csv
australian,mlp,focal_loss,3,success,621,69,621,0.02831064537167549,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold03_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold03.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold03_features.json,3.3149077892303467,0.9130434782608695,1.0,0.8461538461538461,0.8333333333333334,0.9090909090909091,0.9230769230769231,30,33,6,0,0.9760683760683762,0.9484012919951833,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold03_predictions.csv
australian,mlp,focal_loss,4,success,621,69,621,0.06712440401315689,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold04_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold04.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold04_features.json,1.517082691192627,0.7681159420289855,0.6451612903225806,0.868421052631579,0.8,0.7142857142857143,0.7567911714770799,20,33,5,11,0.8459252971137522,0.8566624119054909,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold04_predictions.csv
australian,mlp,focal_loss,5,success,621,69,621,0.046403668820858,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold05_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold05.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold05_features.json,1.7019679546356201,0.8840579710144928,0.8064516129032258,0.9473684210526315,0.9259259259259259,0.8620689655172413,0.8769100169779287,25,36,2,6,0.9316638370118846,0.9099680583003495,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold05_predictions.csv
australian,mlp,focal_loss,6,success,621,69,621,0.03501318395137787,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold06_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold06.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold06_features.json,2.6349844932556152,0.8695652173913043,0.8387096774193549,0.8947368421052632,0.8666666666666667,0.8524590163934426,0.866723259762309,26,34,4,5,0.9626485568760611,0.957820905432768,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold06_predictions.csv
australian,mlp,focal_loss,7,success,621,69,621,0.05874141305685043,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold07_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold07.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold07_features.json,1.8956878185272217,0.7971014492753623,0.6774193548387096,0.8947368421052632,0.84,0.75,0.7860780984719864,21,34,4,10,0.898981324278438,0.8738244109955318,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold07_predictions.csv
australian,mlp,focal_loss,8,success,621,69,621,0.03866050764918327,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold08_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold08.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold08_features.json,1.774871826171875,0.8115942028985508,0.8709677419354839,0.7631578947368421,0.75,0.8059701492537313,0.817062818336163,27,29,9,4,0.9482173174872666,0.9465853007981662,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold08_predictions.csv
australian,mlp,focal_loss,9,success,621,69,621,0.05094718933105469,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold09_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold09.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold09_features.json,2.3113319873809814,0.8405797101449275,0.8709677419354839,0.8157894736842105,0.7941176470588235,0.8307692307692308,0.8433786078098472,27,31,7,4,0.9074702886247877,0.9055522050074025,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold09_predictions.csv
australian,mlp,focal_loss,10,success,621,69,621,0.026802601292729378,/kaggle/working/assignment3_outputs/histories/australian_mlp_focal_loss_fold10_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold10.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_focal_loss_fold10_features.json,3.8394250869750977,0.9565217391304348,0.9354838709677419,0.9736842105263158,0.9666666666666667,0.9508196721311475,0.9545840407470289,29,37,1,2,0.9736842105263158,0.9681631698670186,/kaggle/working/assignment3_outputs/metrics/australian_mlp_focal_loss_fold10_predictions.csv
australian,lstm,baseline,1,success,621,69,621,0.4346641004085541,/kaggle/working/assignment3_outputs/histories/australian_lstm_baseline_fold01_history.csv,,29,/kaggle/working/assignment3_outputs/models/australian_lstm_baseline_fold01_features.json,3.9787817001342773,0.8115942028985508,0.7666666666666667,0.8461538461538461,0.7931034482758621,0.7796610169491526,0.8064102564102564,23,33,6,7,0.8974358974358974,0.8660139042600351,/kaggle/working/assignment3_outputs/metrics/australian_lstm_baseline_fold01_predictions.csv
