seed,fold,model_name,threshold,runtime,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_acc,val_mcc,val_brier,val_threshold,val_tp,val_fp,val_fn,val_tn,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_balanced_acc,test_mcc,test_brier,test_threshold,test_tp,test_fp,test_fn,test_tn
42,4,LogisticRegression,0.52,1.8761069774627686,0.7782367193108398,0.5382066402716588,0.7769744160177976,0.49682875264270615,0.5904522613065326,0.83,0.539609644087256,0.7102261306532662,0.39644572305486175,0.1810167668543786,0.52,470,476,326,2324,0.7638270666510246,0.5183974137920623,0.7663941264808943,0.47724477244772445,0.5852187028657617,0.8178701521319905,0.5257452574525745,0.7015444274988761,0.37630465127015983,0.18616375933908696,0.52,776,850,550,3817
42,4,CatBoost,0.52,12.69262409210205,0.7846284996410624,0.564290612584332,0.7789210233592881,0.5005192107995846,0.6055276381909548,0.8282142857142857,0.5480386583285958,0.7168709619526202,0.4066571174917011,0.174204690124323,0.52,482,481,314,2319,0.7835995715884546,0.5497519867085998,0.7722342733188721,0.48826008428657436,0.6116138763197587,0.8178701521319905,0.5430197522597925,0.7147420142258747,0.3982984719849516,0.17754083722749522,0.52,811,850,515,3817
42,4,LightGBM,0.33,0.19677519798278809,0.7814404612347451,0.549660098822754,0.7903225806451613,0.5243055555555556,0.5690954773869347,0.8532142857142857,0.5457831325301205,0.7111548815506101,0.4103641871646458,0.15447423545261868,0.33,453,411,343,2389,0.7779155884469791,0.5385010140718931,0.7807442015684966,0.5039370078740157,0.579185520361991,0.8380115706020999,0.5389473684210526,0.7085985454820454,0.3976804789313361,0.15503629358264506,0.33,768,756,558,3911
42,4,MLP,0.53,7.085022926330566,0.7812544867193109,0.5481348827889561,0.7828142380422692,0.5082690187431091,0.5791457286432161,0.8407142857142857,0.541397533763946,0.7099300071787509,0.40136640744564495,0.17951954904572567,0.53,461,446,335,2354,0.7716335549399994,0.5368327176659297,0.779909894877357,0.5022653721682848,0.5852187028657617,0.8352260552817656,0.5405781957506095,0.7102223790737636,0.39898169740586553,0.18357790395019977,0.53,776,769,550,3898
42,4,TabNet,0.57,35.70343279838562,0.7728302225412779,0.5468621337055327,0.7833704115684094,0.5099882491186839,0.5452261306532663,0.8510714285714286,0.5270188221007893,0.6981487796123474,0.38709805809100867,0.1824397370253549,0.57,434,417,362,2383,0.7609403950138016,0.5226190526786506,0.7794093108626731,0.5013793103448276,0.548265460030166,0.8450824941075638,0.5237752161383286,0.6966739770688648,0.3812520509309457,0.18784254567462746,0.57,727,723,599,3944
2024,0,LogisticRegression,0.52,1.7228951454162598,0.7695490847092605,0.5156931510835854,0.7666852057842046,0.47772020725388603,0.5791457286432161,0.82,0.5235661555934128,0.699572864321608,0.3739753307647137,0.1872361318644048,0.52,461,504,335,2296,0.7689846652840893,0.5305917844500954,0.7767395294510262,0.4961038961038961,0.5761689291101055,0.8337261624169702,0.5331472435450104,0.7049475457635379,0.3893827179072291,0.1822454358813836,0.52,764,776,562,3891
2024,0,CatBoost,0.49,9.000653505325317,0.7844934493898061,0.5439898140650454,0.7516685205784205,0.4555453712190651,0.6243718592964824,0.7878571428571428,0.5267620561738209,0.7061145010768126,0.37226983965446137,0.17960624095390998,0.49,497,594,299,2206,0.7885011283938672,0.5593661462832514,0.7597196729517771,0.4682628062360802,0.6342383107088989,0.79537175916006,0.5387572069186419,0.7148050349344794,0.3892624073703857,0.17528459401281932,0.49,841,955,485,3712
2024,0,LightGBM,0.36,0.20239043235778809,0.7775603463747308,0.5435579539081862,0.7689098998887653,0.48186528497409326,0.5841708542713567,0.8214285714285714,0.5281090289608177,0.7027997128499641,0.3800220533480751,0.1550774240031422,0.36,465,500,331,2300,0.7810238021136823,0.5447928250990919,0.77724011346571,0.497196261682243,0.6018099547511312,0.8270837797300192,0.5445240532241555,0.7144468672405753,0.4020402519921311,0.15396275077639646,0.36,798,807,528,3860
2024,0,MLP,0.51,12.649966716766357,0.7775323043790381,0.5316617606058036,0.7583426028921023,0.46466602129719264,0.6030150753768844,0.8025,0.5248769819573538,0.7027575376884422,0.37206437611788423,0.185302456026122,0.51,480,553,316,2247,0.7793499559339814,0.547474760454671,0.7675621558484899,0.47990401919616077,0.6033182503770739,0.8142275551746304,0.5345806882726362,0.7087729027758521,0.38679756405957394,0.18129683694967613,0.51,800,867,526,3800
2024,0,TabNet,0.47,33.06309390068054,0.7754459798994975,0.5337419373656662,0.7441601779755284,0.445326278659612,0.6344221105527639,0.7753571428571429,0.5233160621761658,0.7048896267049534,0.3661297042708412,0.18284855828329774,0.47,505,629,291,2171,0.7666955592376885,0.5313992488823466,0.7435341231436676,0.44281842818428185,0.6161387631975868,0.7797300192843368,0.5152948596657206,0.6979343912409618,0.35597898364715325,0.18120067901371228,0.47,817,1028,509,3639
