2026-04-23 23:39:38,617 - australian | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8696
2026-04-23 23:39:39,241 - australian | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.8841
2026-04-23 23:39:39,946 - australian | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7971
2026-04-23 23:39:40,661 - australian | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.8406
2026-04-23 23:39:41,282 - australian | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8116
2026-04-23 23:39:41,973 - australian | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.9420
2026-04-23 23:40:01,722 - taiwan | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.8208
2026-04-23 23:40:22,057 - taiwan | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8138
2026-04-23 23:40:43,193 - taiwan | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.8148
2026-04-23 23:41:04,694 - taiwan | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.8225
2026-04-23 23:41:26,200 - taiwan | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8153
2026-04-23 23:41:52,756 - taiwan | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6927
2026-04-23 23:42:28,070 - taiwan | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.6627
2026-04-23 23:43:02,249 - taiwan | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.6567
2026-04-23 23:43:34,273 - taiwan | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6513
2026-04-23 23:44:12,216 - taiwan | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6730
2026-04-23 23:44:49,629 - taiwan | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8207
2026-04-23 23:45:27,135 - taiwan | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8128
2026-04-23 23:46:09,318 - taiwan | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.8142
2026-04-23 23:46:49,364 - taiwan | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8257
2026-04-23 23:47:26,128 - taiwan | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8182
2026-04-23 23:47:31,159 - SHAP failed for german: The shape of the shap_values matrix does not match the shape of the provided data matrix.
2026-04-23 23:47:35,520 - SHAP failed for australian: The shape of the shap_values matrix does not match the shape of the provided data matrix.
2026-04-23 23:47:41,440 - SHAP failed for taiwan: The shape of the shap_values matrix does not match the shape of the provided data matrix.
