metric,n_pairs,left_mean,right_mean,mean_difference_left_minus_right,wilcoxon_statistic,wilcoxon_pvalue,ttest_statistic,ttest_pvalue,dataset,model,comparison,left_condition,right_condition
pr_auc,10,0.536,0.5488,-0.0128,0.0,0.002,-5.4361,0.0004,default_credit,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.693,0.7103,-0.0174,0.0,0.002,-5.1081,0.0006,default_credit,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.709,0.427,0.282,0.0,0.002,7.7436,0.0,german,gru,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.0921,0.4593,-0.3672,1.0,0.0039,-5.8993,0.0002,german,gru,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.4182,0.3859,0.0323,18.0,0.375,1.0957,0.3017,german,gru,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.5274,0.5374,-0.01,10.5,0.6094,-0.3936,0.7031,german,gru,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.709,0.563,0.146,0.0,0.002,4.2217,0.0022,german,gru,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.0921,0.4235,-0.3314,2.0,0.0059,-4.8448,0.0009,german,gru,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.4182,0.376,0.0422,14.0,0.1934,1.5705,0.1507,german,gru,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.5274,0.5631,-0.0357,16.0,0.2754,-1.1641,0.2743,german,gru,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.427,0.563,-0.136,7.0,0.0371,-2.7888,0.0211,german,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.4593,0.4235,0.0358,16.0,0.2754,1.563,0.1525,german,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.3859,0.376,0.0099,24.0,0.7695,0.5956,0.5661,german,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.5374,0.5631,-0.0257,13.0,0.1602,-1.5677,0.1514,german,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.427,0.518,-0.091,14.0,0.1855,-1.4817,0.1726,german,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.4593,0.3929,0.0664,7.0,0.0371,2.1638,0.0587,german,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.3859,0.3872,-0.0013,26.0,0.9219,-0.0475,0.9631,german,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.5374,0.5329,0.0045,26.5,0.9453,0.1753,0.8647,german,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.7,0.318,0.382,0.0,0.002,21.2222,0.0,german,lstm,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.0,0.4598,-0.4598,0.0,0.002,-219.905,0.0,german,lstm,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.3286,0.3478,-0.0192,15.0,0.2324,-1.873,0.0938,german,lstm,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.5,0.5033,-0.0033,3.0,1.0,-0.4894,0.6362,german,lstm,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.7,0.554,0.146,0.0,0.002,4.0111,0.0031,german,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.0,0.4632,-0.4632,0.0,0.002,-19.4276,0.0,german,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.3286,0.3991,-0.0705,6.0,0.0273,-2.6985,0.0245,german,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.5,0.5805,-0.0805,0.0,0.0039,-3.6299,0.0055,german,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.318,0.554,-0.236,1.0,0.0078,-5.1935,0.0006,german,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.4598,0.4632,-0.0034,19.0,0.7344,-0.1386,0.8928,german,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
